Issue,Status,Call
AssociationsforTarget:List,closed,/disease/assoc/byTarget?uri=http%3A%2F%2Fpurl.uniprot.org%2Funiprot%2FQ9Y5Y9
AssociationsforTarget:Count,closed,/disease/assoc/byTarget/count?uri=http%3A%2F%2Fpurl.uniprot.org%2Funiprot%2FQ9Y5Y9
DiseaseInformation:Batch,closed,/disease/batch?uri_list=http%3A%2F%2Flinkedlifedata.com%2Fresource%2Fumls%2Fid%2FC0004238%7Chttp%3A%2F%2Flinkedlifedata.com%2Fresource%2Fumls%2Fid%2FC0018794
DiseasesforTarget:List,closed,/disease/byTarget?uri=http%3A%2F%2Fpurl.uniprot.org%2Funiprot%2FQ9Y5Y9
DiseasesforTarget:Count,closed,/disease/byTarget/count?uri=http%3A%2F%2Fpurl.uniprot.org%2Funiprot%2FQ9Y5Y9
TargetsforDisease:List,closed,/disease/getTargets?uri=http%3A%2F%2Flinkedlifedata.com%2Fresource%2Fumls%2Fid%2FC0004238
TargetsforDisease:Count,closed,/disease/getTargets/count?uri=http%3A%2F%2Flinkedlifedata.com%2Fresource%2Fumls%2Fid%2FC0004238
MapURL,closed,/mapUri?Uri=http%3A%2F%2Flinkedlifedata.com%2Fresource%2Fumls%2Fid%2FC0004238
PathwayInformation,closed,/pathway?uri=http%3A%2F%2Fidentifiers.org%2Fwikipathways%2FWP1019
PathwayInformation:GetCompounds,closed,/pathway/getCompounds?uri=http%3A%2F%2Fidentifiers.org%2Fwikipathways%2FWP1002
PathwayInformation:GetPublications,closed,/pathway/getReferences?uri=http%3A%2F%2Fidentifiers.org%2Fwikipathways%2FWP1015
PathwayInformation:GetTargets,closed,/pathway/getTargets?uri=http%3A%2F%2Fidentifiers.org%2Fwikipathways%2FWP1008
Pathways:List,closed,/pathways
PathwaysforCompound:List,closed,/pathways/byCompound?uri=http%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2F83931753-9e3f-4e90-b104-e3bcd0b4d833
PathwaysforCompound:Count,closed,/pathways/byCompound/count?uri=http%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2F83931753-9e3f-4e90-b104-e3bcd0b4d833
PathwaysforPublication:List,closed,/pathways/byReference?uri=http%3A%2F%2Fidentifiers.org%2Fpubmed%2F14769483
PathwaysforPublication:Count,closed,/pathways/byReference/count?uri=http%3A%2F%2Fidentifiers.org%2Fpubmed%2F14769483
PathwaysforTarget:List,closed,/pathways/byTarget?uri=http%3A%2F%2Fidentifiers.org%2Fncbigene%2F282478
PathwaysforTarget:Count,closed,/pathways/byTarget/count?uri=http%3A%2F%2Fidentifiers.org%2Fncbigene%2F282478
Pathways:Count,closed,/pathways/count
PathwayOrganisms,closed,/pathways/organisms
ActivityTypes:List,closed,/pharmacology/filters/activities?activity_unit=centimeter
ActivityTypes:Count,closed,/pharmacology/filters/activities/count?activity_unit=centimeter
ActivityUnits:Count,closed,/pharmacology/filters/units/count
ActivityUnits:List,closed,/pharmacology/filters/units/pages
TargetInformation,closed,/target?uri=http%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2F00059958-a045-4581-9dc5-e5a08bb0c291
TargetInformation:Batch,closed,/target/batch?uri_list=http%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2F00059958-a045-4581-9dc5-e5a08bb0c291%7Chttp%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2F7b21c06f-0343-4fcc-ab0f-a74ffe871ade
TargetClassifications,closed,/target/classifications?uri=http%3A%2F%2Fpurl.uniprot.org%2Funiprot%2FP14756
TargetClassificationsTree:chembl,closed,/target/classifications?uri=http%3A%2F%2Fpurl.uniprot.org%2Funiprot%2FP14756&tree=chembl
TargetClassificationsTree:enzyme,closed,/target/classifications?uri=http%3A%2F%2Fpurl.uniprot.org%2Funiprot%2FP14756&tree=enzyme
TargetClassificationsTree:go,closed,/target/classifications?uri=http%3A%2F%2Fpurl.uniprot.org%2Funiprot%2FP14756&tree=go
ClassificationofCompoundsforTarget,closed,/target/classificationsForCompounds?uri=http%3A%2F%2Fpurl.uniprot.org%2Funiprot%2FP00918
TargetClassMembers:Count,closed,/target/members/count?uri=http%3A%2F%2Fpurl.uniprot.org%2Fenzyme%2F6.2.-.-
TargetClassMembers:List,closed,/target/members/pages?uri=http%3A%2F%2Fpurl.uniprot.org%2Fenzyme%2F6.2.-.-
TargetPharmacology:Count,closed,/target/pharmacology/count?uri=http%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2F00059958-a045-4581-9dc5-e5a08bb0c291
TargetPharmacology:List,closed,/target/pharmacology/pages?uri=http%3A%2F%2Fwww.conceptwiki.org%2Fconcept%2F00059958-a045-4581-9dc5-e5a08bb0c291
TargetClassPharmacology:Count,closed,/target/tree/pharmacology/count?uri=http%3A%2F%2Fpurl.uniprot.org%2Fenzyme%2F6.2.-.-
TargetClassPharmacology:List,closed,/target/tree/pharmacology/pages?uri=http%3A%2F%2Fpurl.uniprot.org%2Fenzyme%2F6.2.-.-
TargetTypes,closed,/target/types
TissueInformation,closed,/tissue?uri=ftp%3A%2F%2Fftp.nextprot.org%2Fpub%2Fcurrent_release%2Fcontrolled_vocabularies%2Fcaloha.obo%23TS-0171
TissueInformation:Batch,closed,/tissue/batch?uri_list=ftp%3A%2F%2Fftp.nextprot.org%2Fpub%2Fcurrent_release%2Fcontrolled_vocabularies%2Fcaloha.obo%23TS-0171%7Cftp%3A%2F%2Fftp.nextprot.org%2Fpub%2Fcurrent_release%2Fcontrolled_vocabularies%2Fcaloha.obo%23TS-0173
TissuesforProtein:List,closed,/tissue/byProtein?uri=http%3A%2F%2Fpurl.uniprot.org%2Funiprot%2FP55795
TissuesforProtein:Count,closed,/tissue/byProtein/count?uri=http%3A%2F%2Fpurl.uniprot.org%2Funiprot%2FP55795
ProteinsforTissue:List,closed,/tissue/getProteins?uri=ftp%3A%2F%2Fftp.nextprot.org%2Fpub%2Fcurrent_release%2Fcontrolled_vocabularies%2Fcaloha.obo%23TS-0016
ProteinsforTissue:Count,closed,/tissue/getProteins/count?uri=ftp%3A%2F%2Fftp.nextprot.org%2Fpub%2Fcurrent_release%2Fcontrolled_vocabularies%2Fcaloha.obo%23TS-0016
PatentInformation,closed,/patent?uri=http%3A%2F%2Frdf.ebi.ac.uk%2Fresource%2Fsurechembl%2Fpatent%2FEP-1339685-A2
PatentsforCompound:List,closed,/patent/byCompound?uri=http%3A%2F%2Frdf.ebi.ac.uk%2Fresource%2Fsurechembl%2Fmolecule%2FSCHEMBL1325
PatentsforCompound:Count,closed,/patent/byCompound/count?uri=http%3A%2F%2Frdf.ebi.ac.uk%2Fresource%2Fsurechembl%2Fmolecule%2FSCHEMBL1325
PatentsforDisease:List,closed,/patent/byDisease?uri=http%3A%2F%2Frdf.ebi.ac.uk%2Fresource%2Fsurechembl%2Findication%2FD002561
PatentsforDisease:Count,closed,/patent/byDisease/count?uri=http%3A%2F%2Frdf.ebi.ac.uk%2Fresource%2Fsurechembl%2Findication%2FD002561
PatentsforTarget:List,closed,/patent/byTarget?uri=http%3A%2F%2Frdf.ebi.ac.uk%2Fresource%2Fsurechembl%2Ftarget%2FHMGCS1
PatentsforTarget:Count,closed,/patent/byTarget/count?uri=http%3A%2F%2Frdf.ebi.ac.uk%2Fresource%2Fsurechembl%2Ftarget%2FHMGCS1
PatentEntities:Count,closed,/patent/entities/count?uri=http%3A%2F%2Frdf.ebi.ac.uk%2Fresource%2Fsurechembl%2Fpatent%2FEP-1339685-A2
PatentEntities:List,closed,/patent/entities/pages?uri=http%3A%2F%2Frdf.ebi.ac.uk%2Fresource%2Fsurechembl%2Fpatent%2FEP-1339685-A2
PathwayInformation:GetInteractions,closed,/pathway/getInteractions?uri=http%3A%2F%2Fidentifiers.org%2Fwikipathways%2FWP1015
PathwayInteractionsforEntity:List,closed,/pathways/interactions/byEntity?uri=http%3A%2F%2Fidentifiers.org%2Fensembl%2FENSBTAG00000004037
PathwayInteractionsforEntity:Count,closed,/pathways/interactions/byEntity/count?uri=http%3A%2F%2Fidentifiers.org%2Fensembl%2FENSBTAG00000004037
